	rt (min)		(+)	(-)	neutral mass	formula	name		area	polarity	group	group
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		YE_S_4	116384	both	YE_S	YE_Syn
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_C_1	92057	both	SE_C	SE_Ctr
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_C_2	88032	both	SE_C	SE_Ctr
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_C_3	98423	both	SE_C	SE_Ctr
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_C_4	88640	both	SE_C	SE_Ctr
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_S_1	661202	both	SE_S	SE_Syn
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_S_2	586422	both	SE_S	SE_Syn
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_S_3	646973	both	SE_S	SE_Syn
2	4.78	0.03	295.2256	121.0298	122.0371	C7H6O2		SE_S_4	535655	both	SE_S	SE_Syn
3	4.84	0.01	334.1612					Min_C_1		pos	Min_C	Min_Ctr
3	4.84	0.01	334.1612					Min_C_2		pos	Min_C	Min_Ctr
3	4.84	0.01	334.1612					Min_C_3		pos	Min_C	Min_Ctr
3	4.84	0.01	334.1612					Min_C_4		pos	Min_C	Min_Ctr
3	4.84	0.01	334.1612					Min_S_1		pos	Min_S	Min_Syn
3	4.84	0.01	334.1612					Min_S_2		pos	Min_S	Min_Syn
3	4.84	0.01	334.1612					Min_S_3		pos	Min_S	Min_Syn
3	4.84	0.01	334.1612					Min_S_4		pos	Min_S	Min_Syn
3	4.84	0.01	334.1612					MEBM_C_1		pos	MEBM_C	MEBM_Ctr
3	4.84	0.01	334.1612					MEBM_C_2		pos	MEBM_C	MEBM_Ctr
3	4.84	0.01	334.1612					MEBM_C_3		pos	MEBM_C	MEBM_Ctr
3	4.84	0.01	334.1612					MEBM_C_4		pos	MEBM_C	MEBM_Ctr
3	4.84	0.01	334.1612					MEBM_S_1		pos	MEBM_S	MEBM_Syn
3	4.84	0.01	334.1612					MEBM_S_2		pos	MEBM_S	MEBM_Syn
3	4.84	0.01	334.1612					MEBM_S_3		pos	MEBM_S	MEBM_Syn
3	4.84	0.01	334.1612					MEBM_S_4		pos	MEBM_S	MEBM_Syn
3	4.84	0.01	334.1612					YE_C_1	26084	pos	YE_C	YE_Ctr
3	4.84	0.01	334.1612					YE_C_2	31890	pos	YE_C	YE_Ctr
3	4.84	0.01	334.1612					YE_C_3	32122	pos	YE_C	YE_Ctr
3	4.84	0.01	334.1612					YE_C_4	24337	pos	YE_C	YE_Ctr
